ONTOLOGY	TERM	N	DE	P.DE	FDR	SigGenesInSet
BP	regulation of glycoprotein metabolic process	62	5	0.742622718030988	1	GATA1,POMT2,MT3,BCL2,CCL19,NECAB3
BP	negative regulation of glycoprotein metabolic process	28	0	1	1	
BP	positive regulation of glycoprotein metabolic process	26	1	0.959459644406341	1	POMT2,CCL19
BP	regulation of RNA polymerase II regulatory region sequence-specific DNA binding	14	1	0.83290093826269	1	LAMTOR5
BP	negative regulation of RNA polymerase II regulatory region sequence-specific DNA binding	6	0	1	1	
BP	regulation of opsonization	11	3	0.127502615090918	1	MYO18A,PLA2G5,FCN3
BP	positive regulation of opsonization	9	3	0.0763197549672517	1	MYO18A,PLA2G5,FCN3
BP	regulation of microtubule plus-end binding	2	0	1.00000000000796	1	
BP	positive regulation of microtubule plus-end binding	2	0	1.00000000000796	1	
BP	regulation of response to wounding	172	28	0.0381809700575769	1	CNTF,CPB2,CLDN19,ANO6,F12,FAP,FGB,FGF2,CLASP2,ALOX12,MTOR,GP1BA,GRN,ANXA1,APOE,APOH,KRT1,NOS3,DDR2,WNT4,PRKG1,MYOZ1,TFPI,THBS1,SERPING1,VIL1,VTN,ADTRP,PHLDB2
BP	negative regulation of response to wounding	94	22	0.000892826940794096	0.393925548127672	CPB2,CLDN19,F12,FAP,FGB,FGF2,CLASP2,ALOX12,GP1BA,APOE,APOH,KRT1,NOS3,WNT4,PRKG1,MYOZ1,TFPI,THBS1,SERPING1,VTN,ADTRP,PHLDB2
BP	positive regulation of response to wounding	77	10	0.384095297080972	1	CNTF,CPB2,ANO6,F12,MTOR,GRN,ANXA1,APOH,DDR2,THBS1,VTN
BP	regulation of leukocyte cell-cell adhesion	374	42	0.609260716955017	1	CHST4,VSIG4,ADORA2A,CTSG,ERBB2,FOXJ1,FOXO3,IL4I1,LRRC32,GP1BA,CCDC88B,PYCARD,ANXA1,CD209,IGF2,IL2,LEP,RHOH,FOXP3,PCK1,CYRIB,IL20RB,PRKAR1A,PRKCQ,CCL28,BAD,ACTB,CCL2,CCL19,CCL25,SELE,NOD2,BMP4,SMARCD2,SPTA1,ZP3,DOCK8,ADTRP,TNFSF11,RUNX3,TNFSF14,IL1RL2,TNFSF18,IL27RA,CD44
BP	negative regulation of leukocyte cell-cell adhesion	146	16	0.530141682736273	1	VSIG4,ADORA2A,CTSG,ERBB2,FOXJ1,IL4I1,LRRC32,ANXA1,IL2,FOXP3,IL20RB,PRKAR1A,CCL28,CCL25,BMP4,ADTRP,RUNX3,TNFSF18
BP	positive regulation of leukocyte cell-cell adhesion	272	29	0.768724798311796	1	CHST4,FOXO3,IL4I1,GP1BA,CCDC88B,PYCARD,ANXA1,CD209,IGF2,IL2,LEP,RHOH,FOXP3,PCK1,CYRIB,PRKCQ,BAD,ACTB,CCL2,CCL19,SELE,NOD2,SMARCD2,SPTA1,ZP3,DOCK8,TNFSF11,RUNX3,TNFSF14,IL1RL2,IL27RA,CD44
BP	regulation of chondrocyte hypertrophy	1	0	0.999999999982031	1	
BP	positive regulation of chondrocyte hypertrophy	1	0	0.999999999982031	1	
BP	protein localization to membrane raft	9	1	0.677351381767329	1	ATP1B1
BP	meiotic cell cycle process	211	26	0.448761777457969	1	SYCP2,RAD51AP1,PTTG2,HSF2BP,KLHDC3,TDRD9,ASZ1,SGO1,UBR2,NCAPH,RAD54B,TERB1,NCAPH2,STRA8,ING2,MLH1,ATM,SYCP3,WNT4,MOV10L1,ZCWPW1,CHFR,FOXJ2,FANCM,DMRTC2,BRME1,C11orf80,SMC1A,NUF2,CCNE2,ESPL1,WASHC5,NCAPD2
BP	mitotic cell cycle process	788	104	0.132200266704626	1	CDK2,PSME3,CDK2AP2,CDKN2A,CDKN2B,CDKN2D,CENPA,KHDRBS1,PTTG2,PLK2,ARPP19,KIF2C,FAM107A,CDCA5,PHB2,CCSAP,TPRA1,NACC2,PHF13,SGO1,EGFR,EPS8,ESRRB,CCNY,CLASP2,POGZ,RRS1,PDS5A,OBSL1,NCAPH,NUP62,KANK2,L3MBTL1,GIGYF2,GML,CHAMP1,CCDC57,ANK3,SETD2,CHMP4A,TMOD3,NCAPH2,ANAPC2,ANAPC4,DONSON,ANXA1,HYAL1,IGF2,INHBA,INS,INSR,KMT5A,STMN1,MCM4,MYH10,NBN,ATM,NPAT,DDR2,PBX1,PPME1,TRIAP1,CHMP5,DTL,PDGFRB,CPSF3,EXOC6,CHTF8,PHIP,SMPD3,CHFR,PPP2R2D,PRKDC,MEPCE,PSMG2,AVEN,GJC2,PSME1,USP29,CCND1,BCL2,ACTB,MIIP,RRM2,RTKN,CCL2,SETMAR,BMP4,SMARCD2,SPTBN1,BRCA1,ZFP36L2,BTC,TACC1,UBE2E2,XPC,ZNF207,NABP2,BRCC3,FBXO31,CALM2,CUL5,SMC1A,NAA10,CDC45,NUF2,CCDC8,PSRC1,KLHL22,ZFYVE19,NAE1,CCND2,TICRR,PKMYT1,KIFC2,ACVR1B,CCNE2,SLFN11,TAOK2,KIF3B,BABAM2,ESPL1,NCAPD2
BP	regulation of proteolysis involved in protein catabolic process	227	27	0.550527577851115	1	CDK2,PSME3,SOCS4,RNF19B,CSNK1D,DAB2IP,SH3RF2,DNAAF4,FHIT,ARIH1,HIPK2,APOE,PRKN,CHFR,MAPK9,PSEN1,UBQLN4,PSMC5,PSME1,TRIB3,MAGEF1,ELOB,USP7,USP9X,ZFAND2A,RGN,RPL23,RNF14,KEAP1
BP	negative regulation of proteolysis involved in protein catabolic process	66	6	0.79881782946126	1	FHIT,HIPK2,PSEN1,USP7,USP9X,RPL23
BP	positive regulation of proteolysis involved in protein catabolic process	136	16	0.592972970025862	1	SOCS4,RNF19B,CSNK1D,DAB2IP,SH3RF2,ARIH1,PRKN,CHFR,MAPK9,PSEN1,PSMC5,TRIB3,MAGEF1,ELOB,ZFAND2A,RGN,RNF14,KEAP1
BP	regulation of extracellular matrix organization	57	9	0.239766375006074	1	ANGPTL7,CPB2,FAP,CLASP2,EFEMP2,DDR2,TCF15,ADTRP,PHLDB2
BP	negative regulation of extracellular matrix organization	13	2	0.420127439792867	1	FAP,ADTRP
BP	positive regulation of extracellular matrix organization	27	5	0.237160497711973	1	CPB2,CLASP2,EFEMP2,DDR2,PHLDB2
BP	regulation of melanosome organization	2	0	1.00000000001508	1	
BP	regulation of protein lipidation	11	1	0.764256642187633	1	ULK1,ATG13
BP	negative regulation of protein lipidation	2	0	1.00000000000082	1	
BP	positive regulation of protein lipidation	4	0	1	1	
BP	regulation of reverse cholesterol transport	4	0	1	1	
BP	negative regulation of reverse cholesterol transport	3	0	1	1	
BP	positive regulation of reverse cholesterol transport	1	0	1.00000000002929	1	
BP	regulation of ER-associated ubiquitin-dependent protein catabolic process	9	0	1	1	
BP	negative regulation of ER-associated ubiquitin-dependent protein catabolic process	3	0	1	1	
BP	positive regulation of ER-associated ubiquitin-dependent protein catabolic process	7	0	1	1	
BP	regulation of death-inducing signaling complex assembly	1	0	0.999999999979683	1	
BP	negative regulation of death-inducing signaling complex assembly	1	0	0.999999999979683	1	
BP	regulation of protein localization to plasma membrane	103	17	0.113182719100323	1	CIB1,AGR2,SORBS1,EGFR,CNPY4,STAC3,CLIP3,ZDHHC8,INS,KIF5B,ARF6,PLS1,PRKCH,BCL2L1,ACTB,RSC1A1,SPTBN1,VIL1,SQSTM1,TMEM59
BP	negative regulation of protein localization to plasma membrane	25	2	0.818298088277615	1	BCL2L1,RSC1A1,TMEM59
BP	positive regulation of protein localization to plasma membrane	59	14	0.00955522136460585	0.919689194445419	CIB1,AGR2,SORBS1,EGFR,CNPY4,STAC3,CLIP3,ZDHHC8,KIF5B,ARF6,PLS1,PRKCH,SPTBN1,VIL1,SQSTM1
BP	regulation of C-C chemokine receptor CCR7 signaling pathway	1	0	1.00000000003453	1	
BP	positive regulation of C-C chemokine receptor CCR7 signaling pathway	1	0	1.00000000003453	1	
BP	protein localization to condensed chromosome	18	1	0.898484549442061	1	CHAMP1
BP	regulation of protein K48-linked deubiquitination	3	1	0.325148568734536	1	OTUD4
BP	negative regulation of protein K48-linked deubiquitination	2	0	0.999999999997286	1	
CC	ribonuclease III complex	2	0	1.00000000000981	1	
BP	protein localization to meiotic spindle midzone	1	0	1.00000000001499	1	
BP	1-phosphatidyl-1D-myo-inositol 3,5-bisphosphate metabolic process	1	0	1.00000000000625	1	
BP	regulation of mitochondrial transcription	5	0	1	1	
BP	positive regulation of mitochondrial transcription	2	0	0.999999999998306	1	
BP	regulation of actin filament-based movement	40	4	0.717650698126343	1	CTNNA3,MYBPC3,PDE4D,MYLK2
BP	positive regulation of actin filament-based movement	2	0	1.00000000000146	1	
BP	urate homeostasis	1	1	0.117472235937344	1	OIT3
BP	protein localization to actin cytoskeleton	1	0	0.999999999989818	1	
BP	regulation of TRAIL-activated apoptotic signaling pathway	6	0	1	1	TIMP3
BP	negative regulation of TRAIL-activated apoptotic signaling pathway	3	0	1	1	
BP	negative regulation of thioredoxin peroxidase activity by peptidyl-threonine phosphorylation	1	0	1.00000000000277	1	
BP	negative regulation of centriole-centriole cohesion	1	0	1.00000000002631	1	
BP	mononuclear cell differentiation	472	58	0.352877237116889	1	TCIRG1,PGLYRP3,ZBTB46,CSF1R,IL34,NFAM1,CTSK,ERBB2,FOXJ1,FOXO3,IL27,MTOR,IL4I1,GATA1,KAT2A,GPR18,GPS2,BLNK,NCAPH2,ANXA1,ONECUT1,AIRE,IFNA14,IL2,INHA,INHBA,IRF4,ITGB6,LEP,RHOH,MIR17HG,ATM,NTRK1,PBX1,FOXP3,PCK1,WNT4,AXL,PRKDC,PSEN1,IFNK,SLAMF8,BAD,PREX1,BCL2,RELB,ACTB,RORA,RORC,CCL19,BMP4,SMARCD2,SRF,ZFP36L2,STK11,ZEB1,TYRO3,NHEJ1,PRR7,DCSTAMP,CRACR2A,PIK3R3,PIR,RUNX3,IL1RL2,TNFSF18
MF	cupric ion binding	4	0	1	1	
MF	cuprous ion binding	8	1	0.642522080261339	1	ATOX1
BP	regulation of establishment of endothelial barrier	17	2	0.63957762196523	1	ADD1,CLDN5
BP	negative regulation of establishment of endothelial barrier	2	0	0.999999999975355	1	
BP	positive regulation of establishment of endothelial barrier	6	2	0.161319877962261	1	ADD1,CLDN5
CC	adrenomedullin receptor complex	3	0	1	1	
BP	regulation of autophagy of mitochondrion	36	1	0.990840931336034	1	PRKN,SREBF1
BP	negative regulation of autophagy of mitochondrion	7	0	1	1	
BP	regulation of pyrroline-5-carboxylate reductase activity	1	0	0.999999999979683	1	
BP	positive regulation of pyrroline-5-carboxylate reductase activity	1	0	0.999999999979683	1	
BP	regulation of calcium ion transmembrane transport	187	26	0.185470679319444	1	TRDN,GNB5,UBR3,STAC3,GPR35,GRM6,IL13,ATP1B1,NPPA,NTSR1,OPRL1,P2RY6,PDE4D,CABP2,PPP3R1,PSEN2,GJC2,CEMIP,BCL2,CXCL11,CX3CL1,SLC8A1,TRPC3,CALM2,CAPN3,CRACR2A,RGN,AKAP6
BP	negative regulation of calcium ion transmembrane transport	56	8	0.233099520799516	1	TRDN,GNB5,UBR3,GPR35,NTSR1,OPRL1,PPP3R1,BCL2,CALM2
BP	fatty alcohol metabolic process	2	0	1.00000000002628	1	
BP	regulation of tyrosine 3-monooxygenase activity	1	0	0.999999999979683	1	
BP	positive regulation of tyrosine 3-monooxygenase activity	1	0	0.999999999979683	1	
BP	regulation of dopamine biosynthetic process	3	0	1	1	
BP	positive regulation of dopamine biosynthetic process	2	0	1.00000000000884	1	
BP	regulation of SUMO transferase activity	1	0	0.999999999998247	1	
BP	L-dopa metabolic process	1	0	0.999999999979683	1	
BP	L-dopa biosynthetic process	1	0	0.999999999979683	1	
BP	glyoxal metabolic process	1	0	0.999999999979683	1	
BP	glyoxal catabolic process	1	0	0.999999999979683	1	
BP	regulation of L-dopa biosynthetic process	1	0	0.999999999979683	1	
BP	positive regulation of L-dopa biosynthetic process	1	0	0.999999999979683	1	
BP	regulation of L-dopa decarboxylase activity	1	0	0.999999999979683	1	
BP	positive regulation of L-dopa decarboxylase activity	1	0	0.999999999979683	1	
BP	regulation of oxidative stress-induced cell death	80	9	0.537263464097787	1	TRAP1,TLR6,FOXO3,SIRT1,INS,MMP3,DDR2,PRKN,PYCR1,PAGE4
BP	negative regulation of oxidative stress-induced cell death	55	6	0.562221409693284	1	TRAP1,SIRT1,INS,DDR2,PRKN,PYCR1,PAGE4
BP	regulation of oxidative stress-induced neuron death	30	1	0.97891768448304	1	TLR6,PRKN
BP	negative regulation of oxidative stress-induced neuron death	21	0	1	1	PRKN
BP	regulation of hydrogen peroxide-induced cell death	30	4	0.409505230076078	1	TRAP1,FOXO3,DDR2,PYCR1
BP	negative regulation of hydrogen peroxide-induced cell death	21	3	0.382445605521579	1	TRAP1,DDR2,PYCR1
BP	regulation of hydrogen peroxide-induced neuron death	5	0	1	1	
BP	negative regulation of hydrogen peroxide-induced neuron death	5	0	1	1	
BP	positive regulation of oxidative stress-induced cell death	22	3	0.452262812884783	1	TLR6,FOXO3,MMP3
BP	podocyte apoptotic process	4	0	1	1	
BP	regulation of protein targeting to mitochondrion	44	4	0.805070324993044	1	HUWE1,PRKN,SREBF1,HPS4,ATG13
BP	negative regulation of protein targeting to mitochondrion	6	0	1	1	
BP	regulation of protein processing involved in protein targeting to mitochondrion	2	0	0.999999999959881	1	
BP	negative regulation of protein processing involved in protein targeting to mitochondrion	2	0	0.999999999959881	1	
BP	positive regulation of oxidative stress-induced neuron death	7	1	0.595675229961407	1	TLR6
BP	regulation of endodermal cell differentiation	7	0	1	1	
BP	negative regulation of endodermal cell differentiation	3	0	1	1	
BP	positive regulation of endodermal cell differentiation	3	0	1	1	
MF	mRNA base-pairing post-transcriptional repressor activity	262	1	0.999992432747509	1	MIR17HG,MIR330
BP	melanosome assembly	20	4	0.219492165419717	1	ABCB6,AP1S3,AP1G1,TRAPPC6A,HPS4
BP	regulation of calcium ion-dependent exocytosis of neurotransmitter	4	0	1	1	
BP	positive regulation of calcium ion-dependent exocytosis of neurotransmitter	1	0	0.99999999999846	1	
BP	regulation of leukocyte tethering or rolling	17	5	0.0349355108184011	1	CHST4,GP1BA,CCL28,CCL25,SELE
BP	negative regulation of leukocyte tethering or rolling	4	2	0.0544845156557402	1	CCL28,CCL25
BP	positive regulation of leukocyte tethering or rolling	12	3	0.152885440259728	1	CHST4,GP1BA,SELE
BP	U2-type prespliceosome assembly	24	0	1	1	
BP	regulation of cardiac muscle hypertrophy in response to stress	18	3	0.180250827212098	1	BMP10,TRPC3,MLIP
BP	negative regulation of cardiac muscle hypertrophy in response to stress	9	1	0.635257726355268	1	MLIP
BP	positive regulation of cardiac muscle hypertrophy in response to stress	9	1	0.374867467154189	1	TRPC3
BP	regulation of citrulline biosynthetic process	1	0	1.00000000000792	1	
BP	negative regulation of citrulline biosynthetic process	1	0	1.00000000000792	1	
BP	multi-ciliated epithelial cell differentiation	9	1	0.66651463614187	1	CEP63
BP	exon-exon junction complex disassembly	1	0	0.999999999969484	1	
BP	positive regulation of tumor necrosis factor-mediated signaling pathway	13	0	1	1	PRKN
BP	regulation of sodium ion export across plasma membrane	4	1	0.404071590102246	1	ATP1B1,FXYD1
BP	positive regulation of sodium ion export across plasma membrane	4	1	0.404071590102246	1	ATP1B1,FXYD1
BP	regulation of calcium:sodium antiporter activity	3	1	0.32733217254159	1	ATP1B1
BP	negative regulation of calcium:sodium antiporter activity	1	0	0.999999999960951	1	
BP	positive regulation of calcium:sodium antiporter activity	2	1	0.233383503755515	1	ATP1B1
BP	regulation of glutathione peroxidase activity	2	0	1.00000000002737	1	
BP	positive regulation of glutathione peroxidase activity	1	0	0.999999999963536	1	
BP	positive regulation of hydrogen peroxide catabolic process	1	0	0.999999999963536	1	
BP	regulation of potassium ion import	9	1	0.658723974046538	1	ATP1B1
BP	negative regulation of potassium ion import across plasma membrane	1	0	1.00000000004478	1	
BP	positive regulation of potassium ion import across plasma membrane	7	1	0.600775320784151	1	ATP1B1
BP	protein localization to Golgi membrane	5	1	0.481021279684417	1	ARL5A
CC	phosphatase complex	57	8	0.367211748515934	1	PPP1CA,PPP1CC,PPP1R3A,PPP1R3D,PPP4C,PPP3R1,PPP2R2D,SHOC2,NKD1
BP	regulation of glutamate secretion, neurotransmission	5	1	0.484745123051599	1	SLC38A2
BP	positive regulation of glutamate secretion, neurotransmission	4	0	1	1	
BP	regulation of hypoxia-induced intrinsic apoptotic signaling pathway	6	1	0.541472775482772	1	PIK3CB
BP	negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway	6	1	0.541472775482772	1	PIK3CB
BP	regulation of hexokinase activity	11	1	0.755433393479505	1	PRKN,BAD
BP	negative regulation of hexokinase activity	5	0	1	1	PRKN
BP	positive regulation of hexokinase activity	6	0	1	1	BAD
BP	regulation of pyruvate kinase activity	1	0	1.00000000001318	1	
BP	regulation of regulated secretory pathway	143	14	0.841117891868291	1	ADCY1,STXBP5,ADORA2A,ADORA2B,AP1G1,SNAPIN,GATA1,GATA2,IL13,KCNB1,LAMP1,SEPTIN5,SPHK2,C12orf4,BCR,ZP3,HYAL3
BP	negative regulation of regulated secretory pathway	25	1	0.955017849436867	1	BCR
BP	positive regulation of regulated secretory pathway	50	8	0.257737219640922	1	ADORA2B,AP1G1,GATA1,GATA2,IL13,KCNB1,LAMP1,SPHK2,ZP3,HYAL3
BP	regulation of mRNA metabolic process	307	27	0.962212552828639	1	MBNL2,KHDRBS1,U2AF2,PNLDC1,CPEB3,EXOSC7,LARP4B,PUM2,GIGYF2,PABPC1,PRPF19,TRA2A,MLH1,MYEF2,POLR2G,SMU1,IWS1,MBNL3,PCBP4,PTBP1,CNOT6,SNRPA,ZFP36L2,SUPT6H,ZFP36,SECISBP2,SLTM,FAM172A,TNKS1BP1,CNOT8
BP	negative regulation of mRNA metabolic process	93	7	0.932062408787445	1	U2AF2,LARP4B,PABPC1,PCBP4,PTBP1,ZFP36,SECISBP2
BP	positive regulation of mRNA metabolic process	139	12	0.898168587818738	1	PNLDC1,CPEB3,EXOSC7,GIGYF2,PABPC1,PRPF19,TRA2A,MLH1,POLR2G,CNOT6,ZFP36L2,ZFP36,TNKS1BP1,CNOT8
BP	regulation of nitrogen cycle metabolic process	1	0	1.00000000004718	1	
BP	regulation of protein maturation	72	8	0.60252716729504	1	CPB2,F12,GSN,THBS1,TNP1,TNP2,CHAC1,ACP4
BP	negative regulation of protein maturation	29	4	0.416846462454961	1	CPB2,THBS1,CHAC1,ACP4
BP	positive regulation of protein maturation	28	4	0.413188421063156	1	F12,GSN,TNP1,TNP2
BP	regulation of protein modification by small protein conjugation or removal	249	27	0.752170239787547	1	UBA2,HUWE1,HMG20B,FAM107A,U2AF2,TICAM1,DTX3L,SH3RF2,FBXO2,GPS2,SVBP,PRKN,TBC1D7,OTUD4,OTUB1,CHFR,MAPK9,PSEN1,FANCM,TRIB3,NOD2,BRCA1,UBE2V2,BIRC7,MUL1,PRR7,CAPN3,FSCB,HDAC3,SQSTM1,RPL23
BP	negative regulation of protein modification by small protein conjugation or removal	95	11	0.595113534914643	1	HMG20B,U2AF2,DTX3L,SH3RF2,GPS2,SVBP,OTUB1,PSEN1,PRR7,CAPN3,FSCB,SQSTM1,RPL23
BP	positive regulation of protein modification by small protein conjugation or removal	134	14	0.760739301448566	1	UBA2,HUWE1,FAM107A,TICAM1,PRKN,TBC1D7,CHFR,MAPK9,FANCM,TRIB3,NOD2,BRCA1,UBE2V2,BIRC7,MUL1,HDAC3
BP	regulation of tRNA metabolic process	2	0	0.99999999999996	1	
BP	negative regulation of tRNA metabolic process	2	0	0.99999999999996	1	
BP	regulation of iron-sulfur cluster assembly	1	0	1.00000000000236	1	
BP	positive regulation of iron-sulfur cluster assembly	1	0	1.00000000000236	1	
BP	regulation of protein folding	8	1	0.644725477207418	1	GRN
BP	negative regulation of protein folding	4	0	1	1	
BP	positive regulation of protein folding	2	1	0.23248852574315	1	GRN
BP	regulation of vacuolar transport	3	1	0.317741522561174	1	SNAPIN
BP	negative regulation of vacuolar transport	2	0	0.999999999964484	1	
BP	positive regulation of vacuolar transport	1	1	0.120827643917145	1	SNAPIN
BP	regulation of meiotic DNA double-strand break formation	1	0	1.00000000000495	1	
BP	positive regulation of meiotic DNA double-strand break formation	1	0	1.00000000000495	1	
BP	negative regulation of bicellular tight junction assembly	6	0	1	1	
BP	positive regulation of bicellular tight junction assembly	7	1	0.597600807387911	1	CLDN5
CC	omegasome membrane	4	1	0.397706650557515	1	ULK1
BP	response to dopamine	90	8	0.811368211748391	1	GNB5,CHRM1,CHRM5,ALK,GNAL,GNAS,GNB1,HTR1D,HTR1F,PRKN
BP	cellular response to dopamine	89	8	0.8005372854589	1	GNB5,CHRM1,CHRM5,ALK,GNAL,GNAS,GNB1,HTR1D,HTR1F,PRKN
BP	L-ornithine transmembrane transport	6	1	0.545909089823556	1	SLC25A2
BP	regulation of Golgi organization	17	1	0.895038550633491	1	USP6NL
BP	protein localization to basolateral plasma membrane	8	0	1	1	LIN7B
BP	regulation of fear response	10	1	0.727865013271871	1	APOE
BP	positive regulation of fear response	7	0	1	1	
BP	regulation of endoplasmic reticulum tubular network organization	6	1	0.543133273860422	1	TMEM33
BP	positive regulation of endoplasmic reticulum tubular network organization	4	0	1	1	
BP	facioacoustic ganglion development	2	0	1.00000000000181	1	
BP	regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway	9	0	1	1	PRKN
BP	negative regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway	5	0	1	1	PRKN
BP	positive regulation of oxidative stress-induced neuron intrinsic apoptotic signaling pathway	2	0	0.999999999989812	1	
BP	regulation of mitotic chromosome condensation	2	0	0.999999999987855	1	
BP	regulation of endoplasmic reticulum stress-induced neuron intrinsic apoptotic signaling pathway	2	0	0.999999999962727	1	PRKN
BP	negative regulation of endoplasmic reticulum stress-induced neuron intrinsic apoptotic signaling pathway	2	0	0.999999999962727	1	PRKN
BP	regulation of hydrogen peroxide-induced neuron intrinsic apoptotic signaling pathway	2	0	0.999999999999287	1	
BP	negative regulation of hydrogen peroxide-induced neuron intrinsic apoptotic signaling pathway	2	0	0.999999999999287	1	
BP	regulation of homophilic cell adhesion	3	0	1	1	
BP	positive regulation of homophilic cell adhesion	1	0	0.999999999976621	1	
BP	regulation of adherens junction organization	5	1	0.489284678982557	1	ADD1
BP	negative regulation of adherens junction organization	3	0	1	1	
BP	positive regulation of adherens junction organization	2	1	0.235923746084526	1	ADD1
BP	protein localization to kinetochore involved in kinetochore assembly	1	0	1.00000000003511	1	
BP	L-lysine transmembrane transport	8	0	1	1	
BP	regulation of renal phosphate excretion	2	0	0.999999999993789	1	
BP	negative regulation of renal phosphate excretion	1	0	0.999999999998954	1	
BP	protein localization to nuclear body	12	0	1	1	MEPCE
BP	regulation of P-type sodium:potassium-exchanging transporter activity	3	1	0.326540091578193	1	ATP1B1
BP	positive regulation of P-type sodium:potassium-exchanging transporter activity	3	1	0.326540091578193	1	ATP1B1
BP	reactive oxygen species biosynthetic process	60	6	0.676249128477762	1	TRAP1,TLR6,FOXO3,INS,MMP8,SPHK2,PAGE4
BP	response to bile acid	6	0	1	1	
BP	cellular response to bile acid	5	0	1	1	
BP	response to glycoside	6	1	0.541644661662883	1	ATP1A3
BP	protein localization to endoplasmic reticulum tubular network	1	0	0.999999999987984	1	
BP	regulation of synaptic vesicle recycling	20	1	0.928742920103734	1	STX1B
BP	negative regulation of synaptic vesicle recycling	2	1	0.236796234687097	1	STX1B
BP	positive regulation of synaptic vesicle recycling	8	0	1	1	
BP	regulation of reactive oxygen species biosynthetic process	47	6	0.426530250339267	1	TRAP1,TLR6,FOXO3,INS,MMP8,SPHK2,PAGE4
BP	negative regulation of reactive oxygen species biosynthetic process	20	2	0.647856338844794	1	TRAP1,INS,PAGE4
BP	positive regulation of reactive oxygen species biosynthetic process	20	3	0.388625210426761	1	TLR6,FOXO3,MMP8
BP	regulation of cell maturation	20	3	0.42455217504266	1	BCL11A,RAC3,BCL2
BP	negative regulation of cell maturation	8	1	0.625935318476759	1	BCL11A
BP	positive regulation of cell maturation	7	1	0.602216671745599	1	BCL2
BP	regulation of TORC1 signaling	48	7	0.349626994009199	1	LAMTOR5,C9orf72,ATM,GPR137,RRAGD,STK11,NPRL3,KLHL22
BP	regulation of constitutive secretory pathway	2	0	1.00000000001609	1	
BP	negative regulation of constitutive secretory pathway	1	0	1.00000000001022	1	
BP	positive regulation of constitutive secretory pathway	1	0	0.999999999998843	1	
BP	regulation of mitotic cytokinetic process	2	0	0.999999999984416	1	NUP62
BP	positive regulation of mitotic cytokinetic process	2	0	0.999999999984416	1	NUP62
CC	calcitonin family receptor complex	5	0	1	1	
CC	amylin receptor complex	4	0	1	1	
BP	protein localization to ciliary membrane	12	0	1	1	
BP	response to lipoic acid	1	0	0.999999999973611	1	
BP	negative regulation of brown fat cell differentiation	3	1	0.334785677852703	1	GATA2
BP	protein transport from ciliary membrane to plasma membrane	2	0	0.999999999981286	1	
BP	regulation of G1 to G0 transition	4	1	0.410155142106875	1	RPL23
BP	negative regulation of G1 to G0 transition	1	0	0.999999999995076	1	
BP	lactate catabolic process	1	0	1.00000000000029	1	
BP	Okazaki fragment processing involved in mitotic DNA replication	1	0	1.00000000000709	1	
BP	regulation of mitotic cell cycle DNA replication	2	0	1.00000000002952	1	
BP	negative regulation of mitotic cell cycle DNA replication	1	0	0.999999999993573	1	
BP	regulation of lactation	3	0	1	1	
BP	positive regulation of lactation	2	0	0.99999999998289	1	
BP	positive regulation of mitotic cytokinesis	7	0	1	1	NUP62
BP	response to dehydroepiandrosterone	2	1	0.161189512723561	1	CSN1S1
BP	cellular response to dehydroepiandrosterone	1	0	0.999999999988002	1	
BP	response to 11-deoxycorticosterone	1	1	0.0437445901638873	1	CSN1S1
CC	ATPase inhibitor complex	3	0	1	1	
BP	regulation of mitotic spindle checkpoint	21	0	1	1	
